city_development_index,gender,relevent_experience,enrolled_university,education_level,experience,company_size,last_new_job,training_hours,target
0.92,Female,No relevent experience,Full time course,Graduate,5,,1,24,0
0.92,Female,Has relevent experience,no_enrollment,Graduate,>20,100-500,>4,82,0
0.91,Male,Has relevent experience,no_enrollment,Graduate,12,5000-9999,3,145,0
0.92,Male,Has relevent experience,no_enrollment,Graduate,10,Oct-49,2,206,0
0.926,Male,No relevent experience,Part time course,High School,1,10000+,1,152,0
0.926,Male,Has relevent experience,no_enrollment,Phd,>20,100-500,4,42,1
0.92,,No relevent experience,no_enrollment,Graduate,12,,4,50,0
0.884,Male,No relevent experience,no_enrollment,,3,,never,106,0
0.926,Female,Has relevent experience,Full time course,Masters,16,1000-4999,2,14,0
0.924,Male,Has relevent experience,no_enrollment,High School,4,Oct-49,2,36,0
0.624,,Has relevent experience,no_enrollment,Masters,6,50-99,1,112,1
0.666,,No relevent experience,no_enrollment,Graduate,9,50-99,never,108,0
0.624,Male,Has relevent experience,Part time course,Masters,9,5000-9999,3,7,1
0.624,Female,No relevent experience,Full time course,Masters,5,,never,26,1
0.624,Male,Has relevent experience,no_enrollment,Graduate,5,100-500,never,87,1
0.92,Other,Has relevent experience,no_enrollment,Graduate,19,10000+,4,52,1
0.558,Male,Has relevent experience,no_enrollment,Graduate,15,,>4,20,1
0.923,Male,Has relevent experience,no_enrollment,Graduate,11,Oct-49,1,21,0
0.558,Male,No relevent experience,no_enrollment,Graduate,4,,1,92,1
0.666,Male,Has relevent experience,no_enrollment,Graduate,10,100-500,2,102,0
0.794,Male,No relevent experience,no_enrollment,Graduate,5,10000+,>4,26,0
0.924,,Has relevent experience,no_enrollment,Masters,3,<10,2,7,0
0.926,Male,No relevent experience,Full time course,High School,4,10000+,1,43,0
0.924,Male,Has relevent experience,no_enrollment,Graduate,>20,100-500,1,45,0
0.754,Male,Has relevent experience,Full time course,Graduate,2,50-99,2,52,0
0.92,Male,Has relevent experience,no_enrollment,Graduate,>20,,2,19,0
0.624,,Has relevent experience,Full time course,Graduate,2,Oct-49,,32,1
0.767,Male,Has relevent experience,no_enrollment,Graduate,>20,100-500,>4,26,1
0.855,Male,Has relevent experience,Part time course,Graduate,6,,1,90,0
0.939,Male,Has relevent experience,no_enrollment,Graduate,6,100-500,3,25,0
0.827,,Has relevent experience,,Masters,13,<10,1,15,0
0.887,Male,Has relevent experience,no_enrollment,Masters,>20,100-500,>4,48,0
0.55,,No relevent experience,Full time course,High School,3,,,98,0
0.865,Male,Has relevent experience,no_enrollment,Graduate,10,50-99,2,142,1
0.855,Other,No relevent experience,no_enrollment,Masters,4,10000+,4,13,0
0.91,Male,Has relevent experience,no_enrollment,Graduate,15,,>4,47,0
0.91,Female,Has relevent experience,no_enrollment,Masters,14,500-999,1,28,0
0.698,,No relevent experience,,,2,,never,228,1
0.666,Male,Has relevent experience,no_enrollment,Graduate,>20,,4,22,0
0.624,Male,No relevent experience,Full time course,Graduate,<1,,never,18,1
0.827,Male,Has relevent experience,no_enrollment,Graduate,2,Oct-49,1,29,0
0.855,Male,Has relevent experience,no_enrollment,Masters,5,100-500,1,46,0
0.55,,No relevent experience,Full time course,Graduate,<1,,never,12,0
0.92,,Has relevent experience,no_enrollment,Graduate,5,100-500,2,17,0
0.893,Male,Has relevent experience,no_enrollment,Masters,5,50-99,2,65,0
0.92,Male,No relevent experience,no_enrollment,Graduate,3,100-500,1,35,0
0.855,Male,No relevent experience,Full time course,Graduate,9,10000+,3,14,0
0.92,Female,Has relevent experience,no_enrollment,Masters,2,<10,1,4,0
0.92,Male,Has relevent experience,no_enrollment,Graduate,15,50-99,>4,12,0
0.92,Male,Has relevent experience,no_enrollment,Graduate,>20,50-99,2,108,0
0.92,Male,No relevent experience,no_enrollment,Graduate,>20,,1,136,0
0.92,Male,Has relevent experience,no_enrollment,Graduate,5,Oct-49,1,27,0
0.796,,Has relevent experience,Part time course,Masters,4,50-99,1,74,0
0.884,Male,Has relevent experience,no_enrollment,Graduate,15,Oct-49,1,86,0
0.866,Female,No relevent experience,Part time course,Graduate,<1,Oct-49,2,83,0
0.92,,No relevent experience,Full time course,High School,4,,3,75,0
0.698,Male,No relevent experience,Full time course,Masters,11,,2,42,0
0.92,Female,Has relevent experience,no_enrollment,Graduate,6,100-500,1,332,0
0.913,Male,No relevent experience,Full time course,Graduate,4,,,140,0
0.91,Male,No relevent experience,no_enrollment,High School,3,,never,182,0
0.92,Female,No relevent experience,no_enrollment,Graduate,3,100-500,1,13,1
0.682,,Has relevent experience,no_enrollment,Graduate,5,Oct-49,2,172,1
0.92,,Has relevent experience,no_enrollment,Graduate,10,100-500,1,48,0
0.802,Male,Has relevent experience,Full time course,Graduate,9,50-99,1,33,0
0.92,,No relevent experience,Full time course,High School,2,100-500,1,142,0
0.579,,No relevent experience,Full time course,Graduate,2,100-500,1,34,0
0.802,Male,Has relevent experience,no_enrollment,Graduate,6,50-99,2,14,1
0.55,Male,Has relevent experience,no_enrollment,Graduate,6,Oct-49,2,27,1
0.55,Male,Has relevent experience,no_enrollment,Graduate,8,100-500,1,24,1
0.878,,No relevent experience,no_enrollment,Masters,>20,,1,150,0
0.92,Female,Has relevent experience,no_enrollment,Graduate,11,500-999,>4,20,0
0.92,,Has relevent experience,no_enrollment,Graduate,5,500-999,1,140,0
0.91,Male,Has relevent experience,no_enrollment,Graduate,12,5000-9999,1,52,0
0.939,Male,Has relevent experience,no_enrollment,Graduate,>20,50-99,2,160,0
0.897,Male,Has relevent experience,no_enrollment,Masters,9,5000-9999,2,3,0
0.624,Male,Has relevent experience,no_enrollment,Graduate,2,<10,2,2,1
0.91,Male,Has relevent experience,no_enrollment,Graduate,>20,1000-4999,>4,28,0
0.754,Male,Has relevent experience,no_enrollment,Graduate,>20,,4,46,0
0.855,Male,Has relevent experience,no_enrollment,Graduate,8,50-99,1,210,0
0.926,Male,Has relevent experience,no_enrollment,Graduate,10,<10,1,36,0
0.949,Male,No relevent experience,Full time course,Graduate,4,,1,160,1
0.624,Male,Has relevent experience,Full time course,Graduate,2,Oct-49,2,101,0
0.926,Male,Has relevent experience,no_enrollment,Masters,6,50-99,1,46,0
0.925,Male,Has relevent experience,no_enrollment,Graduate,>20,1000-4999,>4,19,0
0.624,Male,Has relevent experience,no_enrollment,Graduate,3,100-500,2,26,1
0.698,,Has relevent experience,Full time course,Graduate,7,<10,1,90,0
0.896,Male,Has relevent experience,no_enrollment,Graduate,9,<10,4,59,0
0.92,Male,Has relevent experience,Part time course,Graduate,10,50-99,1,260,0
0.624,Female,Has relevent experience,no_enrollment,Graduate,11,50-99,>4,74,0
0.91,Male,Has relevent experience,no_enrollment,Phd,>20,100-500,2,20,1
0.878,Male,Has relevent experience,no_enrollment,Graduate,12,100-500,2,8,0
0.92,Male,Has relevent experience,no_enrollment,Graduate,6,100-500,1,131,0
0.836,Male,Has relevent experience,Full time course,Masters,7,,1,45,0
0.693,Male,Has relevent experience,Full time course,Graduate,11,Oct-49,2,109,0
0.855,Male,Has relevent experience,no_enrollment,Graduate,3,100-500,1,70,0
0.92,Female,Has relevent experience,no_enrollment,Graduate,>20,100-500,>4,17,0
0.92,Female,No relevent experience,no_enrollment,Masters,15,50-99,1,51,0
0.92,Female,Has relevent experience,no_enrollment,Graduate,6,50-99,3,60,1
0.893,,No relevent experience,no_enrollment,Phd,>20,1000-4999,>4,4,0
0.926,Male,No relevent experience,no_enrollment,Graduate,12,100-500,>4,7,0
0.804,,Has relevent experience,no_enrollment,Masters,>20,100-500,3,164,0
0.666,Male,Has relevent experience,no_enrollment,Graduate,20,,4,290,0
0.804,Male,No relevent experience,no_enrollment,High School,2,<10,never,145,0
0.92,,No relevent experience,no_enrollment,Phd,,,,70,0
0.624,Male,No relevent experience,no_enrollment,,3,,1,24,0
0.92,Male,No relevent experience,no_enrollment,Masters,3,10000+,1,133,1
0.55,,No relevent experience,Full time course,Graduate,2,,1,20,0
0.92,Male,Has relevent experience,no_enrollment,Graduate,10,<10,1,76,0
0.698,Female,No relevent experience,Full time course,Masters,5,,4,21,1
0.624,Female,Has relevent experience,no_enrollment,Graduate,8,5000-9999,2,34,0
0.92,Male,No relevent experience,no_enrollment,Graduate,9,<10,2,15,0
0.866,Male,No relevent experience,no_enrollment,Graduate,>20,,>4,156,0
0.92,Male,Has relevent experience,no_enrollment,Graduate,>20,5000-9999,>4,15,0
0.926,,Has relevent experience,no_enrollment,Masters,>20,,never,120,0
0.769,,Has relevent experience,no_enrollment,Graduate,14,10000+,>4,47,0
0.754,Male,Has relevent experience,no_enrollment,Graduate,12,,2,100,1
0.855,Male,Has relevent experience,Part time course,Graduate,6,500-999,never,102,0
0.92,Male,No relevent experience,no_enrollment,High School,4,,never,52,0
0.926,,Has relevent experience,no_enrollment,High School,9,Oct-49,4,39,0
0.92,Male,Has relevent experience,Full time course,High School,4,,1,112,1
0.92,Male,No relevent experience,no_enrollment,Phd,>20,50-99,>4,14,0
0.91,,Has relevent experience,no_enrollment,,11,,1,4,0
0.91,,Has relevent experience,no_enrollment,Masters,>20,1000-4999,>4,55,0
0.624,Male,Has relevent experience,no_enrollment,Graduate,6,10000+,4,49,1
0.91,Male,Has relevent experience,no_enrollment,Graduate,15,,>4,72,0
0.925,Male,Has relevent experience,Full time course,Graduate,14,5000-9999,3,141,1
0.926,Male,No relevent experience,no_enrollment,High School,6,,never,28,0
0.92,Male,Has relevent experience,no_enrollment,Graduate,13,10000+,1,6,0
0.92,Male,Has relevent experience,no_enrollment,Graduate,17,5000-9999,1,125,0
0.939,,Has relevent experience,no_enrollment,Graduate,>20,,never,326,0
0.92,Male,Has relevent experience,no_enrollment,Graduate,>20,100-500,2,33,0
0.804,,No relevent experience,no_enrollment,Masters,6,10000+,>4,40,0
0.92,,Has relevent experience,no_enrollment,Graduate,18,,1,198,1
0.92,Female,Has relevent experience,no_enrollment,Masters,15,10000+,>4,55,0
0.698,Male,No relevent experience,no_enrollment,Graduate,>20,500-999,>4,32,0
0.92,Male,Has relevent experience,no_enrollment,Graduate,>20,100-500,>4,11,0
0.754,Male,Has relevent experience,no_enrollment,Graduate,>20,<10,1,41,0
0.92,Male,Has relevent experience,no_enrollment,Masters,>20,10000+,>4,87,1
0.855,Male,Has relevent experience,no_enrollment,Masters,10,100-500,4,114,0
0.698,,Has relevent experience,,,>20,,>4,33,0
0.698,Male,Has relevent experience,Part time course,Masters,5,<10,1,15,0
0.91,,No relevent experience,Full time course,High School,3,,1,8,0
0.878,Female,Has relevent experience,Part time course,High School,2,100-500,1,22,0
0.92,Male,Has relevent experience,no_enrollment,Masters,>20,5000-9999,4,13,0
0.949,Male,Has relevent experience,no_enrollment,Graduate,>20,<10,1,246,0
0.92,Male,Has relevent experience,no_enrollment,Masters,9,Oct-49,1,22,0
0.92,Male,Has relevent experience,no_enrollment,Masters,>20,<10,1,81,0
0.776,,Has relevent experience,Full time course,Graduate,4,Oct-49,1,11,0
0.698,Male,No relevent experience,Full time course,Graduate,5,5000-9999,,24,1
0.92,Male,Has relevent experience,no_enrollment,Graduate,>20,100-500,1,50,0
0.924,Male,No relevent experience,Full time course,High School,6,,never,15,0
0.939,Male,Has relevent experience,no_enrollment,Masters,>20,Oct-49,>4,31,0
0.926,Male,Has relevent experience,no_enrollment,Masters,>20,50-99,never,84,0
0.897,Male,Has relevent experience,Part time course,Graduate,4,10000+,1,42,0
0.624,,Has relevent experience,no_enrollment,Graduate,10,Oct-49,>4,105,1
0.92,Female,Has relevent experience,no_enrollment,Graduate,>20,50-99,>4,72,0
0.789,Male,Has relevent experience,no_enrollment,Graduate,14,Oct-49,>4,42,1
0.698,Male,Has relevent experience,no_enrollment,Graduate,15,50-99,1,152,0
0.92,Male,Has relevent experience,no_enrollment,Graduate,12,10000+,1,60,0
0.624,Male,No relevent experience,Full time course,Masters,2,,never,8,0
0.91,Male,No relevent experience,Full time course,Masters,13,,3,17,1
0.923,Male,No relevent experience,no_enrollment,High School,1,,1,33,0
0.91,Male,Has relevent experience,no_enrollment,Masters,4,100-500,never,38,0
0.92,Male,Has relevent experience,no_enrollment,Graduate,14,<10,2,178,0
0.92,Male,Has relevent experience,no_enrollment,Graduate,15,50-99,1,11,0
0.893,Male,Has relevent experience,no_enrollment,High School,>20,,never,87,0
0.802,Male,Has relevent experience,no_enrollment,Graduate,13,,never,84,0
0.884,Male,Has relevent experience,no_enrollment,Graduate,>20,100-500,2,32,0
0.887,,Has relevent experience,no_enrollment,Masters,9,100-500,1,31,1
0.624,Male,No relevent experience,no_enrollment,Graduate,2,500-999,1,39,0
0.775,,Has relevent experience,no_enrollment,Graduate,7,Oct-49,1,12,0
0.624,,Has relevent experience,Full time course,Graduate,5,10000+,1,50,0
0.903,Male,Has relevent experience,no_enrollment,Graduate,3,100-500,1,55,1
0.55,,Has relevent experience,no_enrollment,Graduate,5,50-99,,7,1
0.92,Male,Has relevent experience,no_enrollment,Masters,2,50-99,1,104,0
0.92,,Has relevent experience,Full time course,Graduate,>20,,>4,90,1
0.92,Male,Has relevent experience,no_enrollment,Masters,>20,100-500,>4,8,0
0.624,Male,No relevent experience,Full time course,Graduate,2,,never,102,0
0.624,,Has relevent experience,no_enrollment,Masters,<1,Oct-49,1,202,1
0.555,,Has relevent experience,no_enrollment,Graduate,4,100-500,1,22,0
0.624,Male,No relevent experience,Full time course,Graduate,3,,never,42,0
0.92,,No relevent experience,no_enrollment,Primary School,4,,never,50,0
0.624,Male,Has relevent experience,no_enrollment,Masters,3,50-99,1,88,0
0.754,,Has relevent experience,no_enrollment,Graduate,5,1000-4999,4,81,0
0.92,Male,Has relevent experience,no_enrollment,Masters,>20,10000+,1,7,0
0.624,Male,No relevent experience,no_enrollment,,3,,never,218,0
0.91,Male,Has relevent experience,no_enrollment,Graduate,>20,10000+,>4,62,0
0.92,Male,Has relevent experience,no_enrollment,Graduate,6,50-99,1,83,0
0.939,Male,Has relevent experience,no_enrollment,Graduate,9,1000-4999,>4,11,0
0.926,Male,No relevent experience,Part time course,Phd,>20,50-99,>4,10,0
0.939,Male,Has relevent experience,no_enrollment,Masters,10,1000-4999,1,114,0
0.624,,Has relevent experience,no_enrollment,Masters,3,50-99,1,36,0
0.804,,No relevent experience,,Masters,6,Oct-49,1,17,0
0.91,Male,No relevent experience,Full time course,Graduate,2,,never,80,1
0.92,Male,Has relevent experience,Part time course,Graduate,>20,50-99,>4,108,0
0.92,Male,Has relevent experience,no_enrollment,Graduate,2,100-500,2,45,0
0.92,Male,No relevent experience,Full time course,Graduate,5,,never,77,0
0.926,Male,Has relevent experience,no_enrollment,Masters,15,100-500,2,8,0
0.878,,No relevent experience,no_enrollment,Graduate,5,,1,28,0
0.727,Female,Has relevent experience,no_enrollment,Graduate,9,100-500,>4,37,0
0.91,,No relevent experience,Full time course,Graduate,2,,2,108,1
0.92,Male,Has relevent experience,no_enrollment,Graduate,13,500-999,2,162,0
0.754,,Has relevent experience,Full time course,High School,9,,>4,41,0
0.903,Male,Has relevent experience,no_enrollment,Masters,19,100-500,4,4,0
0.884,Female,No relevent experience,no_enrollment,Phd,3,1000-4999,1,41,0
0.903,,Has relevent experience,no_enrollment,Graduate,17,10000+,2,12,0
0.92,Male,Has relevent experience,no_enrollment,Graduate,>20,50-99,1,190,0
0.624,,Has relevent experience,no_enrollment,Graduate,7,50-99,>4,29,1
0.92,Male,Has relevent experience,no_enrollment,Graduate,6,100-500,1,11,0
0.92,Male,No relevent experience,Full time course,High School,3,10000+,1,30,0
0.92,Male,Has relevent experience,no_enrollment,Masters,13,100-500,>4,39,0
0.804,Male,Has relevent experience,Full time course,High School,9,,1,16,0
0.926,Male,No relevent experience,no_enrollment,Graduate,>20,50-99,>4,5,0
0.698,Male,No relevent experience,Full time course,High School,8,,never,39,0
0.926,Male,Has relevent experience,no_enrollment,Masters,10,50-99,>4,29,0
0.624,,Has relevent experience,Full time course,Masters,4,50-99,2,210,0
0.92,Other,No relevent experience,Part time course,High School,6,50-99,1,54,0
0.92,Male,Has relevent experience,no_enrollment,Graduate,9,50-99,3,44,0
0.91,Male,Has relevent experience,no_enrollment,Graduate,15,,>4,47,0
0.92,Male,Has relevent experience,no_enrollment,Graduate,>20,1000-4999,>4,74,0
0.624,Male,Has relevent experience,no_enrollment,Masters,6,Oct-49,1,8,1
0.624,,No relevent experience,Full time course,Graduate,7,,never,20,1
0.92,Male,Has relevent experience,no_enrollment,Graduate,3,500-999,1,162,0
0.893,,No relevent experience,no_enrollment,Graduate,2,50-99,1,110,0
0.762,Other,Has relevent experience,Part time course,High School,3,Oct-49,1,262,0
0.836,Male,Has relevent experience,no_enrollment,Masters,14,,1,6,0
0.666,Male,Has relevent experience,Part time course,Graduate,9,Oct-49,1,19,1
0.666,Other,No relevent experience,no_enrollment,Graduate,>20,50-99,>4,23,1
0.624,Male,No relevent experience,,Graduate,<1,,1,107,1
0.897,Male,Has relevent experience,no_enrollment,Masters,15,10000+,>4,134,0
0.926,Male,Has relevent experience,no_enrollment,Masters,11,Oct-49,1,40,0
0.884,Male,Has relevent experience,no_enrollment,Graduate,12,50-99,1,11,0
0.92,Male,Has relevent experience,no_enrollment,Graduate,11,,3,102,0
0.624,Male,No relevent experience,Full time course,Graduate,2,,never,100,0
0.923,Male,No relevent experience,no_enrollment,Masters,3,10000+,never,30,0
0.92,,No relevent experience,no_enrollment,High School,5,,1,20,1
0.92,,Has relevent experience,no_enrollment,Graduate,14,1000-4999,3,4,0
0.91,,No relevent experience,no_enrollment,Primary School,5,,never,15,0
0.624,Male,No relevent experience,no_enrollment,Graduate,<1,,1,14,1
0.923,Male,No relevent experience,no_enrollment,Primary School,1,,never,103,0
0.92,Male,Has relevent experience,Part time course,Graduate,5,1000-4999,2,40,0
0.91,Male,Has relevent experience,no_enrollment,Phd,>20,100-500,2,27,0
0.926,Male,No relevent experience,no_enrollment,High School,10,100-500,>4,46,0
0.926,Male,Has relevent experience,no_enrollment,High School,7,50-99,>4,110,0
0.92,Male,Has relevent experience,no_enrollment,Graduate,13,50-99,1,96,0
0.92,,Has relevent experience,no_enrollment,Graduate,5,10000+,2,57,0
0.92,Male,Has relevent experience,Full time course,Graduate,6,,1,240,0
0.949,Male,Has relevent experience,no_enrollment,Graduate,4,50-99,4,42,0
0.939,Male,Has relevent experience,no_enrollment,Masters,7,,1,16,1
0.64,Male,Has relevent experience,no_enrollment,Graduate,>20,50-99,never,40,1
0.92,Male,Has relevent experience,no_enrollment,Graduate,5,100-500,2,94,0
0.794,,No relevent experience,no_enrollment,Graduate,9,5000-9999,1,160,0
0.878,Male,No relevent experience,Part time course,Graduate,10,Oct-49,1,25,0
0.516,Male,Has relevent experience,no_enrollment,Graduate,9,<10,1,11,0
0.878,,Has relevent experience,no_enrollment,High School,<1,100-500,1,29,0
0.698,Male,Has relevent experience,no_enrollment,Graduate,8,,1,23,0
0.727,Male,Has relevent experience,no_enrollment,Graduate,10,Oct-49,2,113,0
0.754,,Has relevent experience,no_enrollment,Graduate,15,,2,56,0
0.924,Male,No relevent experience,Full time course,Graduate,2,,1,39,1
0.92,,No relevent experience,no_enrollment,Graduate,2,1000-4999,1,20,0
0.92,Male,Has relevent experience,Full time course,Graduate,>20,10000+,1,40,0
0.92,Male,Has relevent experience,no_enrollment,Masters,>20,<10,>4,56,0
0.555,,No relevent experience,Full time course,Graduate,4,,1,106,0
0.926,Male,Has relevent experience,Part time course,Graduate,19,500-999,2,64,0
0.754,Male,Has relevent experience,no_enrollment,Graduate,5,10000+,1,51,0
0.855,Female,Has relevent experience,Full time course,Graduate,6,1000-4999,2,41,0
0.92,,Has relevent experience,no_enrollment,Graduate,20,100-500,>4,150,0
0.579,Male,Has relevent experience,no_enrollment,Graduate,4,Oct-49,1,320,0
0.897,Male,Has relevent experience,no_enrollment,Masters,7,,never,20,0
0.624,Male,No relevent experience,Full time course,,4,1000-4999,1,9,1
0.804,Male,Has relevent experience,Full time course,Graduate,9,5000-9999,1,74,0
0.624,Male,Has relevent experience,no_enrollment,Masters,3,,1,129,1
0.855,Female,Has relevent experience,no_enrollment,Masters,10,,1,42,0
0.913,,No relevent experience,no_enrollment,High School,2,100-500,never,58,0
0.92,Male,No relevent experience,Full time course,High School,3,,1,126,1
0.92,,No relevent experience,no_enrollment,High School,4,,1,45,1
0.923,Male,Has relevent experience,no_enrollment,Graduate,>20,Oct-49,>4,166,0
0.913,Male,Has relevent experience,no_enrollment,Graduate,2,50-99,1,110,0
0.92,Male,Has relevent experience,Full time course,Graduate,>20,,1,37,0
0.804,Female,Has relevent experience,Part time course,Graduate,2,,1,95,1
0.92,Male,Has relevent experience,no_enrollment,Graduate,>20,,>4,29,1
0.926,Male,Has relevent experience,no_enrollment,Masters,>20,50-99,>4,31,0
0.743,Male,No relevent experience,Full time course,Masters,11,50-99,>4,97,0
0.926,Male,No relevent experience,no_enrollment,Primary School,3,,never,16,0
0.92,Male,No relevent experience,no_enrollment,Primary School,4,,never,14,0
0.804,Male,Has relevent experience,no_enrollment,Phd,>20,100-500,>4,206,0
0.92,Female,Has relevent experience,no_enrollment,Graduate,2,Oct-49,1,204,0
0.92,Male,Has relevent experience,no_enrollment,Masters,18,10000+,2,116,0
0.804,,Has relevent experience,no_enrollment,Masters,16,100-500,4,161,0
0.92,Male,Has relevent experience,no_enrollment,Graduate,>20,,>4,25,1
0.92,,Has relevent experience,no_enrollment,Graduate,18,500-999,>4,94,0
0.92,,Has relevent experience,no_enrollment,Graduate,15,10000+,>4,16,0
0.698,Male,Has relevent experience,Full time course,Masters,15,,1,100,0
0.92,Male,Has relevent experience,no_enrollment,Graduate,20,10000+,never,107,0
0.769,Male,Has relevent experience,Part time course,Masters,11,,1,17,0
0.91,Male,Has relevent experience,no_enrollment,Graduate,10,<10,1,140,0
0.939,Male,Has relevent experience,no_enrollment,Graduate,3,10000+,2,75,0
0.939,,Has relevent experience,no_enrollment,High School,6,,1,59,0
0.899,,Has relevent experience,no_enrollment,High School,6,50-99,1,146,0
0.865,,No relevent experience,no_enrollment,,3,,never,302,0
0.855,Female,Has relevent experience,no_enrollment,Masters,9,100-500,2,42,1
0.92,,Has relevent experience,no_enrollment,Graduate,14,,1,131,0
0.698,,Has relevent experience,Part time course,High School,9,,4,74,0
0.91,Female,Has relevent experience,no_enrollment,Graduate,7,10000+,1,22,0
0.804,,No relevent experience,no_enrollment,Graduate,3,,never,53,1
0.913,Male,Has relevent experience,no_enrollment,Masters,>20,500-999,>4,143,0
0.855,Female,Has relevent experience,no_enrollment,Graduate,14,50-99,2,72,0
0.92,Male,Has relevent experience,no_enrollment,High School,11,500-999,1,7,0
0.897,Male,No relevent experience,Full time course,Graduate,3,50-99,1,182,0
0.915,Male,Has relevent experience,no_enrollment,Graduate,15,50-99,4,50,0
0.887,Male,Has relevent experience,no_enrollment,High School,2,50-99,1,82,0
0.91,Male,Has relevent experience,,Graduate,2,10000+,1,58,0
0.924,,Has relevent experience,no_enrollment,Graduate,9,Oct-49,1,94,0
0.624,Male,Has relevent experience,no_enrollment,Graduate,4,<10,2,60,1
0.802,Male,Has relevent experience,Full time course,Masters,5,100-500,4,124,0
0.689,,No relevent experience,no_enrollment,Primary School,2,,2,46,0
0.698,Male,No relevent experience,Full time course,Masters,3,,2,57,1
0.92,Female,Has relevent experience,no_enrollment,Graduate,9,50-99,1,17,0
0.92,,Has relevent experience,no_enrollment,Graduate,14,5000-9999,>4,101,0
0.698,Male,No relevent experience,no_enrollment,Primary School,3,,never,31,0
0.897,Male,Has relevent experience,no_enrollment,Graduate,>20,,1,36,0
0.893,Male,Has relevent experience,Part time course,Graduate,15,,4,198,0
0.91,Male,No relevent experience,no_enrollment,Masters,5,10000+,never,31,0
0.55,,Has relevent experience,,Masters,9,50-99,1,12,0
0.92,Male,Has relevent experience,no_enrollment,Graduate,>20,50-99,1,31,0
0.92,Male,Has relevent experience,no_enrollment,Graduate,20,,>4,26,1
0.92,Male,Has relevent experience,no_enrollment,Graduate,6,50-99,1,55,0
0.624,Male,Has relevent experience,no_enrollment,Graduate,11,,>4,8,1
0.91,Male,Has relevent experience,no_enrollment,High School,>20,100-500,>4,38,0
0.899,Male,Has relevent experience,no_enrollment,Graduate,16,,2,8,0
0.878,Male,Has relevent experience,no_enrollment,Masters,>20,1000-4999,3,32,1
0.776,Male,Has relevent experience,Part time course,Graduate,18,100-500,>4,51,0
0.804,Male,Has relevent experience,Full time course,Graduate,9,5000-9999,2,22,0
0.926,Male,Has relevent experience,Full time course,High School,7,,1,17,0
0.91,Male,No relevent experience,,,3,,never,24,0
0.899,Male,Has relevent experience,no_enrollment,Graduate,5,Oct-49,1,19,0
0.624,Male,Has relevent experience,Full time course,Masters,9,50-99,2,46,1
0.91,Female,Has relevent experience,no_enrollment,Graduate,13,50-99,>4,15,0
0.92,Male,Has relevent experience,no_enrollment,Masters,>20,,>4,23,1
0.893,Male,Has relevent experience,no_enrollment,Graduate,>20,100-500,>4,38,0
0.624,,No relevent experience,Full time course,Masters,4,,never,46,1
0.804,,No relevent experience,Full time course,Graduate,<1,,never,214,0
0.92,Male,Has relevent experience,no_enrollment,Graduate,>20,1000-4999,>4,52,0
0.92,Female,No relevent experience,no_enrollment,Graduate,<1,,never,22,1
0.926,Male,Has relevent experience,no_enrollment,Masters,15,100-500,2,65,0
0.92,,Has relevent experience,Full time course,Graduate,14,50-99,1,64,0
